fecha,extra,super,diesel,extra_lag1,extra_lag7,extra_lag30,super_lag1,super_lag7,super_lag30,diesel_lag1,diesel_lag7,diesel_lag30,extra_rolling7,extra_rolling30,super_rolling7,super_rolling30,diesel_rolling7,diesel_rolling30,dia_semana,mes,es_fin_semana
2022-02-23,912.9055,30.554499999999997,2566.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.9055,912.9055,30.554499999999997,30.554499999999997,2566.111,2566.111,2,2,0
2022-02-24,1776.14,110.492,3004.958,912.9055,0.0,0.0,30.554499999999997,0.0,0.0,2566.111,0.0,0.0,1344.52275,1344.52275,70.52325,70.52325,2785.5344999999998,2785.5344999999998,3,2,0
2022-02-25,1872.792,91.355,2678.934,1776.14,0.0,0.0,110.492,0.0,0.0,3004.958,0.0,0.0,1520.6125,1520.6125,77.46716666666667,77.46716666666667,2750.001,2750.001,4,2,0
2022-02-26,1892.902,130.635,2033.831,1872.792,0.0,0.0,91.355,0.0,0.0,2678.934,0.0,0.0,1613.684875,1613.684875,90.759125,90.759125,2570.9585,2570.9585,5,2,1
2022-02-27,1456.885,106.864,1430.958,1892.902,0.0,0.0,130.635,0.0,0.0,2033.831,0.0,0.0,1582.3249,1582.3249,93.9801,93.9801,2342.9584,2342.9584,6,2,1
2022-02-28,1345.67,74.467,2520.226,1456.885,0.0,0.0,106.864,0.0,0.0,1430.958,0.0,0.0,1542.8824166666666,1542.8824166666666,90.72791666666666,90.72791666666666,2372.503,2372.503,0,2,0
2022-03-01,1205.812,92.476,2210.445,1345.67,0.0,0.0,74.467,0.0,0.0,2520.226,0.0,0.0,1494.7295,1494.7295,90.97764285714285,90.97764285714285,2349.351857142857,2349.351857142857,1,3,0
2022-03-02,1826.261,115.651,2893.974,1205.812,912.9055,0.0,92.476,30.554499999999997,0.0,2210.445,2566.111,0.0,1625.2088571428571,1536.1709375,103.13428571428572,94.0618125,2396.189428571429,2417.429625,2,3,0
2022-03-03,1896.838,75.272,2265.457,1826.261,1776.14,0.0,115.651,110.492,0.0,2893.974,3004.958,0.0,1642.4514285714286,1576.2450555555556,98.10285714285713,91.97405555555555,2290.546428571429,2400.543777777778,3,3,0
2022-03-04,1816.469,122.149,2387.461,1896.838,1872.792,0.0,75.272,91.355,0.0,2265.457,2678.934,0.0,1634.4052857142856,1600.2674499999998,102.50199999999998,94.99154999999999,2248.907428571428,2399.2355,4,3,0
2022-03-05,1840.368,95.339,1804.666,1816.469,1892.902,0.0,122.149,130.635,0.0,2387.461,2033.831,0.0,1626.9004285714286,1622.0947727272726,97.45971428571428,95.02313636363637,2216.1695714285715,2345.1837272727275,5,3,1
2022-03-06,1449.733,93.742,2321.118,1840.368,1456.885,0.0,95.339,106.864,0.0,1804.666,1430.958,0.0,1625.8787142857143,1607.7312916666667,95.58514285714286,94.916375,2343.335285714286,2343.17825,6,3,1
2022-03-07,1709.271,77.032,2695.145,1449.733,1345.67,0.0,93.742,74.467,0.0,2321.118,2520.226,0.0,1677.8217142857143,1615.5420384615386,95.95157142857144,93.54065384615384,2368.3237142857142,2370.252615384615,0,3,0
2022-03-08,1670.78,21.527,3114.671,1709.271,1205.812,0.0,77.032,92.476,0.0,2695.145,2210.445,0.0,1744.2457142857143,1619.487607142857,85.816,88.39682142857143,2497.498857142857,2423.425357142857,1,3,0
2022-03-09,1769.183,88.994,2757.847,1670.78,1826.261,0.0,21.527,115.651,0.0,3114.671,2893.974,0.0,1736.0917142857143,1629.4673,82.00785714285713,88.43663333333333,2478.0521428571433,2445.7201333333337,2,3,0
2022-03-10,1688.9089999999999,96.839,3289.687,1769.183,1896.838,0.0,88.994,75.272,0.0,2757.847,2265.457,0.0,1706.3875714285714,1633.18240625,85.08885714285714,88.96178125,2624.3707142857143,2498.4680625,3,3,0
2022-03-11,1645.871,149.792,2214.951,1688.9089999999999,1816.469,0.0,96.839,122.149,0.0,3289.687,2387.461,0.0,1682.0164285714284,1633.928794117647,89.03785714285713,92.5400294117647,2599.7264285714286,2481.7905882352943,4,3,0
2022-03-12,1639.784,57.3196,2973.646,1645.871,1840.368,0.0,149.792,95.339,0.0,2214.951,1804.666,0.0,1653.3615714285716,1634.2540833333333,83.6065142857143,90.58333888888889,2766.723571428571,2509.115888888889,5,3,1
2022-03-13,1519.866,51.906,1798.299,1639.784,1449.733,0.0,57.3196,93.742,0.0,2973.646,2321.118,0.0,1663.3805714285716,1628.2336578947368,77.62994285714285,88.5476894736842,2692.0351428571425,2471.704473684211,6,3,1
2022-03-14,1862.735,63.334,2479.502,1519.866,1709.271,0.0,51.906,77.032,0.0,1798.299,2695.145,0.0,1685.3039999999999,1639.958725,75.6730857142857,87.287005,2661.229,2472.0943500000003,0,3,0
2022-03-15,1653.221,62.636,2483.375,1862.735,1670.78,0.0,63.334,21.527,0.0,2479.502,3114.671,0.0,1682.7955714285713,1640.5902619047617,81.5458,86.11314761904762,2571.043857142857,2472.631523809524,1,3,0
2022-03-16,1503.11,49.897999999999996,3319.771,1653.221,1769.183,0.0,62.636,88.994,0.0,2483.375,2757.847,0.0,1644.7851428571428,1634.341159090909,75.96065714285714,84.46700454545454,2651.318714285714,2511.137863636364,2,3,0
2022-03-17,1574.306,54.803,2692.485,1503.11,1688.9089999999999,0.0,49.897999999999996,96.839,0.0,3319.771,3289.687,0.0,1628.4132857142856,1631.7309347826085,69.95551428571429,83.17726521739131,2566.004142857143,2519.0225217391308,3,3,0
2022-03-18,1639.502,64.824,2558.3269999999998,1574.306,1645.871,0.0,54.803,149.792,0.0,2692.485,2214.951,0.0,1627.5034285714287,1632.0547291666664,57.81722857142857,82.41254583333334,2615.057857142857,2520.6602083333332,4,3,0
2022-03-19,1813.478,196.211,1816.27,1639.502,1639.784,0.0,64.824,57.3196,0.0,2558.3269999999998,2973.646,0.0,1652.316857142857,1639.31166,77.65885714285716,86.964484,2449.7184285714284,2492.4846,5,3,1
2022-03-20,1377.583,132.464,1520.571,1813.478,1519.866,0.0,196.211,51.906,0.0,1816.27,1798.299,0.0,1631.9907142857141,1629.245173076923,89.16714285714286,88.7144653846154,2410.043,2455.1033076923077,6,3,1
2022-03-21,1523.004,95.22,2954.396,1377.583,1862.735,0.0,132.464,63.334,0.0,1520.571,2479.502,0.0,1583.4577142857142,1625.3103148148148,93.7222857142857,88.95541111111112,2477.8849999999998,2473.5956296296295,0,3,0
2022-03-22,1426.059,70.851,3162.3559999999998,1523.004,1653.221,0.0,95.22,62.636,0.0,2954.396,2483.375,0.0,1551.0059999999999,1618.1941964285713,94.89585714285714,88.308825,2574.8822857142854,2498.194214285714,1,3,0
2022-03-23,1369.773,42.977000000000004,2809.098,1426.059,1503.11,0.0,70.851,49.897999999999996,0.0,3162.3559999999998,3319.771,0.0,1531.9578571428572,1609.627948275862,93.90714285714284,86.74565862068965,2501.9289999999996,2508.9150344827585,2,3,0
2022-03-24,1646.997,83.834,2854.641,1369.773,1574.306,0.0,42.977000000000004,54.803,0.0,2809.098,2692.485,0.0,1542.3422857142857,1610.8735833333333,98.05442857142857,86.64860333333333,2525.0941428571427,2520.439233333333,3,3,0
2022-03-25,1686.97,93.277,2661.563,1646.997,1639.502,912.9055,83.834,64.824,30.554499999999997,2854.641,2558.3269999999998,2566.111,1549.1234285714286,1636.6757333333333,102.11914285714286,88.73935333333333,2539.842142857143,2523.620966666667,4,3,0
2022-03-26,1732.918,25.194,3167.264,1686.97,1813.478,1776.14,93.277,196.211,110.492,2661.563,1816.27,3004.958,1537.614857142857,1635.2350000000001,77.68814285714286,85.89608666666666,2732.8412857142857,2529.0311666666666,5,3,1
2022-03-27,1382.962,61.846000000000004,2269.685,1732.918,1377.583,1872.792,25.194,132.464,91.355,3167.264,1520.571,2678.934,1538.3832857142856,1618.9073333333333,67.59985714285715,84.91245333333333,2839.8575714285716,2515.3895333333335,6,3,1
2022-03-28,1593.404,86.87299999999999,3772.798,1382.962,1523.004,1892.902,61.846000000000004,95.22,130.635,2269.685,2954.396,2033.831,1548.4404285714286,1608.9240666666665,66.40742857142858,83.45371999999999,2956.7721428571426,2573.3550999999998,0,3,0
2022-03-29,1478.195,62.491,2897.538,1593.404,1426.059,1456.885,86.87299999999999,70.851,106.864,3772.798,3162.3559999999998,1430.958,1555.8884285714284,1609.6344,65.21314285714286,81.97461999999999,2918.941,2622.2410999999997,1,3,0
2022-03-30,1550.573,57.43,3031.169,1478.195,1369.773,1345.67,62.491,42.977000000000004,74.467,2897.538,2809.098,2520.226,1581.717,1616.4644999999998,67.27785714285714,81.40672,2950.665428571429,2639.2725333333337,2,3,0
2022-03-31,1704.643,169.876,2504.17,1550.573,1646.997,1205.812,57.43,83.834,92.476,3031.169,2854.641,2210.445,1589.9521428571427,1633.0921999999998,79.56957142857142,83.98672,2900.5981428571426,2649.0633666666668,3,3,0
2022-04-01,1551.9569999999999,49.728,2468.44,1704.643,1686.97,1826.261,169.876,93.277,115.651,2504.17,2661.563,2893.974,1570.6645714285714,1623.9487333333334,73.34828571428571,81.78928666666667,2873.0091428571427,2634.8789,4,4,0
